Model,Accuracy,Precision,Recall,F1,ROC-AUC
SVM,0.819672131147541,0.7894736842105263,0.9090909090909091,0.8450704225352113,0.9015151515151515
Logistic Regression,0.8524590163934426,0.8529411764705882,0.8787878787878788,0.8656716417910447,0.8971861471861471
Random Forest,0.7868852459016393,0.7631578947368421,0.8787878787878788,0.8169014084507042,0.8966450216450217
KNN,0.7540983606557377,0.75,0.8181818181818182,0.782608695652174,0.8582251082251082
